PC,MIN
TJAGL-T6,299813
TJAGL-T6,299812
TJAGL-T6,299807
TJAGL-T6,299775
TJAGL-T7,299991
TJAGL-T7,299981
TJAGL-T7,299981
TJAGL-T7,299981
TJAGL-T7,299883
TJAGL-T7,299883
TJAGL-T7,299790
TJAGL-T7,299790
TJAGL-T7,299786
TJAGL-T7,299786
TJAGL-T7,299786
TJAGL-T8,299977
TJAGL-T8,299911
TJAGL-T9,299941
TJAGL-T9,299940
TJAGL-T9,299940
TJAGL-T9,299931
TJAGL-T9,299858
TJAGL-T9,299851
TJAGL-T9,299832
TJAGL-T9,299822
TJAGL-T9,299797
TJAGL-T9,299797
TJAGL-T9,299770
TJAGL-T9,299726
TJAGL-T9,299726
TJAGL-T9,299726
TJAGL-T9,299726
TJAGL-T9,299698
TJAGL-T9,299698
WAINW-T1,299264
WAINW-T1,299262
WAINW-T1,298893
WAINW-T1,298584
WAINW-T1,298012
WAINW-T1,298006
WAINW-T1,297069
WAINW-T1,297069
WAINW-T1,297065
WAINW-T1,297065
WAINW-T1,297041
WAINW-T1,297041
WAINW-T1,296860
WAINW-T1,296860
WESTP-T1,299408
WESTP-T1,299408
WESTP-T1,299096
WESTP-T1,298720
WESTP-T1,298720
WESTP-T1,297214
WESTP-T1,297214
